Orden|Apellido|Total
1|GARCIA|1476378
2|GONZALEZ|929938
3|RODRIGUEZ|928305
4|FERNANDEZ|922007
5|LOPEZ|874610
6|MARTINEZ|836877
7|SANCHEZ|819743
8|PEREZ|781906
9|GOMEZ|493212
10|MARTIN|491701
11|JIMENEZ|392396
12|RUIZ|368589
13|HERNANDEZ|359657
14|DIAZ|339604
15|MORENO|319898
16|ALVAREZ|282834
17|MUÑOZ|282553
18|ROMERO|220114
19|ALONSO|198882
20|GUTIERREZ|194982
21|NAVARRO|178420
22|TORRES|168578
23|DOMINGUEZ|158110
24|VAZQUEZ|148357
25|RAMOS|144447
26|GIL|140872
27|RAMIREZ|134905
28|SERRANO|132222
29|BLANCO|123644
30|MOLINA|121155
31|SUAREZ|120168
32|MORALES|119957
33|ORTEGA|117744
34|DELGADO|116795
35|CASTRO|115624
36|ORTIZ|107089
37|RUBIO|105011
38|MARIN|104459
39|SANZ|93995
40|NUÑEZ|90297
41|IGLESIAS|89707
42|MEDINA|87220
43|GARRIDO|85789
44|CORTES|83849
45|SANTOS|83713
46|CASTILLO|83534
47|LOZANO|79837
48|GUERRERO|78894
49|CANO|77438
50|PRIETO|74001
51|MENDEZ|72123
52|CALVO|70497
53|CRUZ|69993
54|GALLEGO|69804
55|VIDAL|69328
56|LEON|68696
57|MARQUEZ|68545
58|HERRERA|68506
59|PEÑA|68331
60|FLORES|67545
61|CABRERA|67544
62|CAMPOS|65772
63|VEGA|64687
64|FUENTES|63959
65|DIEZ|63609
66|CARRASCO|63166
67|CABALLERO|60656
68|NIETO|60365
69|REYES|59821
70|AGUILAR|59013
71|PASCUAL|58453
72|HERRERO|58096
73|SANTANA|57698
74|LORENZO|56659
75|HIDALGO|56395
76|MONTERO|56221
77|GIMENEZ|55708
78|IBAÑEZ|55486
79|FERRER|54921
80|DURAN|53820
81|SANTIAGO|52988
82|VICENTE|52694
83|BENITEZ|52561
84|MORA|52507
85|ARIAS|52255
86|VARGAS|51940
87|CARMONA|51638
88|CRESPO|49943
89|ROMAN|48593
90|PASTOR|48342
91|SOTO|47976
92|SAEZ|47420
93|VELASCO|47024
94|MOYA|46077
95|SOLER|45984
96|ESTEBAN|45344
97|PARRA|45242
98|BRAVO|44926
99|GALLARDO|44734
100|ROJAS|43956
101|PARDO|43773
102|MERINO|43087
103|FRANCO|42274
104|ESPINOSA|41560
105|LARA|41543
106|IZQUIERDO|41300
107|RIVAS|41188
108|RIVERA|40855
109|CASADO|40396
110|ARROYO|40148
111|REDONDO|40135
112|CAMACHO|40093
113|SILVA|39798
114|REY|39733
115|VERA|39719
116|GALAN|39367
117|LUQUE|39297
118|OTERO|39152
119|MONTES|39032
120|RIOS|38960
121|SIERRA|38910
122|SEGURA|38701
123|CARRILLO|38190
124|MARCOS|37753
125|MARTI|37121
126|SORIANO|36914
127|MENDOZA|36670
128|BERNAL|36431
129|ROBLES|36301
130|VILA|35939
131|VALERO|35773
132|EXPOSITO|35114
133|PALACIOS|35063
134|HEREDIA|34824
135|MACIAS|34715
136|BENITO|34674
137|VARELA|34562
138|ANDRES|34429
139|GUERRA|34412
140|BUENO|33896
141|ROLDAN|33833
142|MATEO|33746
143|CONTRERAS|33276
144|VILLAR|33233
145|PEREIRA|33144
146|MIRANDA|32639
147|GUILLEN|32440
148|MATEOS|32212
149|ESCUDERO|31967
150|AGUILERA|31743
151|CASAS|31412
152|MENENDEZ|31174
153|APARICIO|31070
154|RIVERO|30742
155|ESTEVEZ|30433
156|PADILLA|30403
157|BELTRAN|30378
158|CALDERON|30230
159|GALVEZ|30166
160|RICO|30159
161|GRACIA|29914
162|ABAD|29824
163|CONDE|29781
164|JURADO|29694
165|SALAS|29617
166|PLAZA|29394
167|QUINTANA|29381
168|ARANDA|29177
169|ACOSTA|29175
170|BERMUDEZ|28971
171|BLAZQUEZ|28968
172|ROCA|28619
173|SANTAMARIA|28498
174|SALAZAR|28482
175|GUZMAN|28410
176|MIGUEL|28163
177|COSTA|28123
178|SERRA|28030
179|MANZANO|27988
180|VILLANUEVA|27938
181|CUESTA|27721
182|TOMAS|27590
183|HURTADO|27531
184|RUEDA|27504
185|TRUJILLO|27496
186|AVILA|27273
187|PACHECO|27094
188|SIMON|26895
189|DE LA FUENTE|26847
190|PONS|26561
191|MESA|26531
192|LAZARO|26488
193|SANCHO|26374
194|DEL RIO|26340
195|ESCOBAR|26018
196|MILLAN|25847
197|LUNA|25834
198|ALARCON|25785
199|BLASCO|25629
200|ZAMORA|25549
201|CASTAÑO|25447
202|SALVADOR|25227
203|BERMEJO|24926
204|BALLESTEROS|24711
205|PAREDES|24704
206|VALVERDE|24649
207|MALDONADO|24604
208|ANTON|24556
209|BAUTISTA|24120
210|VALLE|23908
211|PONCE|23809
212|OLIVA|23668
213|LORENTE|23573
214|RODRIGO|23550
215|DE LA CRUZ|23514
216|CORDERO|23501
217|JUAN|23239
218|COLLADO|23127
219|MONTOYA|23124
220|MAS|23099
221|MURILLO|22991
222|POZO|22972
223|CUEVAS|22902
224|CUENCA|22887
225|MARTOS|22824
226|QUESADA|22282
227|BARROSO|22278
228|MARCO|22258
229|BARRERA|22149
230|ROS|22135
231|DE LA TORRE|22107
232|ORDOÑEZ|21937
233|ALBA|21667
234|GIMENO|21662
235|CABELLO|21579
236|CORRAL|21578
237|PULIDO|21537
238|NAVAS|21434
239|CHEN|21391
240|PUIG|21380
241|ROJO|21336
242|ARENAS|21289
243|SAIZ|21259
244|AGUADO|21245
245|SORIA|21205
246|DOMINGO|21128
247|GALINDO|21062
248|ESCRIBANO|21039
249|VALLEJO|20951
250|MENA|20906
251|ASENSIO|20840
252|AMADOR|20837
253|VALENCIA|20742
254|CARO|20738
255|RAMON|20664
256|LUCAS|20605
257|POLO|20518
258|NARANJO|20249
259|REINA|20203
260|AGUIRRE|20170
261|MATA|20146
262|VILLALBA|20089
263|LINARES|19907
264|MORAN|19854
265|PAZ|19847
266|OJEDA|19585
267|LEAL|19492
268|BURGOS|19258
269|CARRETERO|19146
270|OLIVER|18959
271|BONILLA|18848
272|SOSA|18565
273|ARAGON|18448
274|ROIG|18317
275|CARRION|18186
276|CLEMENTE|18154
277|CASTELLANO|18052
278|VILLA|18040
279|MOHAMED|17993
280|CORDOBA|17986
281|ROSA|17844
282|CACERES|17806
283|ANDREU|17805
284|CARRERA|17804
285|HERNANDO|17787
286|CALERO|17695
287|CARDENAS|17479
288|COBO|17468
289|JUAREZ|17446
290|CHACON|17388
291|ALCARAZ|17362
292|VELAZQUEZ|17350
293|CORREA|17322
294|SOLA|17186
295|SAAVEDRA|17178
296|DOMENECH|17144
297|ZAPATA|17131
298|RIERA|17122
299|TOLEDO|17093
300|LLORENTE|17065
301|MORAL|16943
302|VELA|16895
303|SALGADO|16649
304|CARBONELL|16609
305|VILLEGAS|16532
306|REQUENA|16411
307|ARRIBAS|16390
308|ALFONSO|16378
309|SEVILLA|16353
310|AYALA|16246
311|PELAEZ|16243
312|PRADO|16212
313|BARRIOS|16176
314|FONT|16173
315|OLIVARES|16140
316|CARBALLO|16080
317|PIÑEIRO|16059
318|FERREIRA|16042
319|LUIS|15989
320|ESTEVE|15926
321|SOLIS|15893
322|QUINTERO|15756
323|PINEDA|15748
324|CAMARA|15670
325|SALINAS|15636
326|GRAU|15608
327|PEREA|15561
328|BOSCH|15537
329|MARQUES|15429
330|CASTILLA|15378
331|CID|15355
332|PINTO|15349
333|CANTERO|15293
334|MARRERO|15290
335|DE LA ROSA|15263
336|BALLESTER|15242
337|SANCHIS|15113
338|PALOMO|15029
339|AREVALO|14938
340|BAENA|14868
341|NICOLAS|14822
342|RINCON|14805
343|CASANOVA|14800
344|MIRALLES|14776
345|SALA|14723
346|PORRAS|14702
347|BELMONTE|14693
348|LAGO|14673
349|RECIO|14623
350|PINO|14585
351|HERRANZ|14580
352|PALMA|14563
353|CARDONA|14554
354|BARBA|14515
355|MUÑIZ|14470
356|ARRANZ|14462
357|VENTURA|14391
358|COBOS|14331
359|SINGH|14294
360|COLL|14229
361|CABEZAS|14189
362|BARREIRO|14177
363|CUADRADO|14122
364|MADRID|14045
365|ANGULO|14030
366|CERVERA|14030
367|VAQUERO|13934
368|VELEZ|13911
369|PUENTE|13774
370|OCAÑA|13749
371|DA SILVA|13709
372|NAVARRETE|13706
373|BECERRA|13648
374|OCHOA|13636
375|GRANADOS|13596
376|PUJOL|13553
377|TAPIA|13527
378|BELLO|13526
379|ALFARO|13512
380|PERALTA|13479
381|VERGARA|13369
382|VALLS|13334
383|GAMEZ|13332
384|LATORRE|13262
385|ALCANTARA|13191
386|LOSADA|13191
387|CASTELLANOS|13186
388|MEJIAS|13184
389|CORRALES|13133
390|ROVIRA|13081
391|EGEA|13059
392|SASTRE|13041
393|CAMPO|13020
394|BARRAGAN|12986
395|FALCON|12968
396|FRAILE|12900
397|CEBRIAN|12897
398|ESTRADA|12881
399|GODOY|12880
400|HUERTAS|12840
401|CEREZO|12838
402|CATALAN|12826
403|SEGOVIA|12803
404|RUANO|12769
405|BORREGO|12714
406|BARBERO|12680
407|MORCILLO|12666
408|VALENZUELA|12638
409|AZNAR|12627
410|GUIJARRO|12605
411|ARJONA|12583
412|FERREIRO|12536
413|DEL VALLE|12534
414|PAVON|12510
415|FAJARDO|12492
416|SOLE|12467
417|TORO|12459
418|CARVAJAL|12444
419|DUARTE|12435
420|ARIZA|12412
421|PEINADO|12361
422|CANOVAS|12268
423|ROMERA|12253
424|MORILLO|12212
425|ALCAIDE|12207
426|SAINZ|12181
427|MELERO|12157
428|JORGE|12121
429|GORDILLO|12084
430|AGUDO|12075
431|LLAMAS|12068
432|LOBATO|12029
433|TEJERO|12027
434|VALDES|12014
435|GALVAN|12013
436|REAL|11997
437|ROSALES|11972
